;Codigo Municipio;Nombre;Clase;CodProv
530;5166;NAVARREDONDILLA;7;5
531;5167;NAVARREVISCA;7;5
532;5168;NAVAS DEL MARQUES (LAS);487;5
533;5169;NAVATALGORDO;7;5
534;5170;NAVATEJARES;4;5
535;5171;NEILA DE SAN MIGUEL;0;5
536;5172;NIHARRA;28;5
537;5173;OJOS-ALBOS;7;5
538;5174;ORBITA;14;5
539;5175;OSO (EL);11;5
540;5176;PADIERNOS;11;5
541;5177;PAJARES DE ADAJA;32;5
542;5178;PALACIOS DE GODA;91;5
543;5179;PAPATRIGO;25;5
544;5180;PARRAL (EL);0;5
545;5181;PASCUALCOBO;0;5
546;5182;PEDRO BERNARDO;56;5
547;5183;PEDRO-RODRIGUEZ;4;5
548;5184;PEGUERINOS;28;5
549;5185;PEÑALBA DE AVILA;11;5
550;5186;PIEDRAHITA;119;5
551;5187;PIEDRALAVES;238;5
552;5188;POVEDA;4;5
553;5189;POYALES DEL HOYO;42;5
554;5190;POZANCO;0;5
555;5191;PRADOSEGAR;4;5
556;5192;PUERTO CASTILLA;0;5
557;5193;RASUEROS;14;5
558;5194;RIOCABADO;32;5
559;5195;RIOFRIO;7;5
560;5196;RIVILLA DE BARAJAS;0;5
561;5197;SALOBRAL;14;5
562;5198;SALVADIOS;11;5
563;5199;SAN BARTOLOME DE BEJAR;7;5
564;5200;SAN BARTOLOME DE CORNEJA;0;5
565;5201;SAN BARTOLOME DE PINARES;56;5
566;5206;SAN ESTEBAN DE LOS PATOS;4;5
567;5208;SAN ESTEBAN DE ZAPARDIEL;4;5
568;5207;SAN ESTEBAN DEL VALLE;39;5
569;5209;SAN GARCIA DE INGELMOS;4;5
570;5901;SAN JUAN DE GREDOS;11;5
571;5210;SAN JUAN DE LA ENCINILLA;7;5
572;5211;SAN JUAN DE LA NAVA;21;5
573;5212;SAN JUAN DEL MOLINILLO;4;5
574;5213;SAN JUAN DEL OLMO;4;5
575;5214;SAN LORENZO DE TORMES;0;5
576;5215;SAN MARTIN DE LA VEGA DEL ALBERCHE;4;5
577;5216;SAN MARTIN DEL PIMPOLLAR;7;5
578;5217;SAN MIGUEL DE CORNEJA;4;5
579;5218;SAN MIGUEL DE SERREZUELA;11;5
580;5219;SAN PASCUAL;7;5
581;5220;SAN PEDRO DEL ARROYO;56;5
582;5231;SAN VICENTE DE AREVALO;18;5
583;5204;SANCHIDRIAN;109;5
584;5205;SANCHORREJA;0;5
585;5222;SANTA CRUZ DE PINARES;60;5
586;5221;SANTA CRUZ DEL VALLE;21;5
587;5226;SANTA MARIA DE LOS CABALLEROS;0;5
588;5224;SANTA MARIA DEL ARROYO;0;5
589;5225;SANTA MARIA DEL BERROCAL;11;5
590;5902;SANTA MARIA DEL CUBILLO;18;5
591;5227;SANTA MARIA DEL TIETAR;53;5
592;5228;SANTIAGO DEL COLLADO;4;5
593;5904;SANTIAGO DEL TORMES;0;5
594;5229;SANTO DOMINGO DE LAS POSADAS;7;5
595;5230;SANTO TOME DE ZABARCOS;0;5
596;5232;SERRADA (LA);7;5
597;5233;SERRANILLOS;21;5
598;5234;SIGERES;4;5
599;5235;SINLABAJOS;7;5
600;5236;SOLANA DE AVILA;21;5
601;5237;SOLANA DE RIOALMAR;4;5
602;5238;SOLOSANCHO;140;5
603;5239;SOTALBO;49;5
604;5240;SOTILLO DE LA ADRADA;620;5
605;5241;TIEMBLO (EL);665;5
606;5242;TIÑOSILLOS;53;5
607;5243;TOLBAÑOS;14;5
608;5244;TORMELLAS;7;5
609;5245;TORNADIZOS DE AVILA;28;5
610;5247;TORRE (LA);28;5
611;5246;TORTOLES;4;5
612;5249;UMBRIAS;7;5
613;5251;VADILLO DE LA SIERRA;32;5
614;5252;VALDECASA;0;5
615;5253;VEGA DE SANTA MARIA;4;5
616;5254;VELAYOS;18;5
617;5256;VILLAFLOR;0;5
618;5257;VILLAFRANCA DE LA SIERRA;18;5
619;5905;VILLANUEVA DE AVILA;11;5
620;5258;VILLANUEVA DE GOMEZ;7;5
621;5259;VILLANUEVA DEL ACERAL;25;5
622;5260;VILLANUEVA DEL CAMPILLO;4;5
623;5261;VILLAR DE CORNEJA;0;5
624;5262;VILLAREJO DEL VALLE;11;5
625;5263;VILLATORO;7;5
626;5264;VIÑEGRA DE MORAÑA;0;5
627;5265;VITA;11;5
628;5266;ZAPARDIEL DE LA CAÑADA;7;5
629;5267;ZAPARDIEL DE LA RIBERA;0;5
630;6001;ACEDERA;42;6
631;6002;ACEUCHAL;137;6
632;6003;AHILLONES;70;6
633;6004;ALANGE;126;6
634;6005;ALBUERA (LA);179;6
635;6006;ALBURQUERQUE;158;6
636;6007;ALCONCHEL;147;6
637;6008;ALCONERA;32;6
638;6009;ALJUCEN;25;6
639;6010;ALMENDRAL;137;6
640;6011;ALMENDRALEJO;375;6
641;6012;ARROYO DE SAN SERVAN;406;6
642;6013;ATALAYA;11;6
643;6014;AZUAGA;609;6
644;6015;BADAJOZ;1649;6
645;6016;BARCARROTA;161;6
646;6017;BATERNO;14;6
647;6018;BENQUERENCIA DE LA SERENA;74;6
648;6019;BERLANGA;102;6
649;6020;BIENVENIDA;81;6
650;6021;BODONAL DE LA SIERRA;39;6
651;6022;BURGUILLOS DEL CERRO;81;6
652;6023;CABEZA DEL BUEY;151;6
653;6024;CABEZA LA VACA;14;6
654;6025;CALAMONTE;119;6
655;6026;CALERA DE LEON;28;6
656;6027;CALZADILLA DE LOS BARROS;49;6
657;6028;CAMPANARIO;518;6
658;6029;CAMPILLO DE LLERENA;63;6
659;6030;CAPILLA;21;6
660;6031;CARMONITA;21;6
661;6032;CARRASCALEJO (EL);14;6
662;6033;CASAS DE DON PEDRO;119;6
663;6034;CASAS DE REINA;14;6
664;6035;CASTILBLANCO;53;6
665;6036;CASTUERA;263;6
666;6042;CHELES;46;6
667;6037;CODOSERA (LA);119;6
668;6038;CORDOBILLA DE LACARA;32;6
669;6039;CORONADA (LA);112;6
670;6040;CORTE DE PELEAS;81;6
671;6041;CRISTINA;21;6
672;6043;DON ALVARO;42;6
673;6044;DON BENITO;865;6
674;6045;ENTRIN BAJO;95;6
675;6046;ESPARRAGALEJO;63;6
676;6047;ESPARRAGOSA DE LA SERENA;14;6
677;6048;ESPARRAGOSA DE LARES;35;6
678;6049;FERIA;91;6
679;6050;FREGENAL DE LA SIERRA;98;6
680;6051;FUENLABRADA DE LOS MONTES;74;6
681;6052;FUENTE DE CANTOS;252;6
682;6053;FUENTE DEL ARCO;28;6
683;6054;FUENTE DEL MAESTRE;315;6
684;6055;FUENTES DE LEON;46;6
685;6056;GARBAYUELA;21;6
686;6057;GARLITOS;18;6
687;6058;GARROVILLA (LA);116;6
688;6059;GRANJA DE TORREHERMOSA;53;6
689;6903;GUADIANA DEL CAUDILLO;130;6
690;6060;GUAREÑA;315;6
691;6061;HABA (LA);88;6
692;6062;HELECHOSA DE LOS MONTES;42;6
693;6063;HERRERA DEL DUQUE;161;6
694;6064;HIGUERA DE LA SERENA;11;6
695;6065;HIGUERA DE LLERENA;28;6
696;6066;HIGUERA DE VARGAS;77;6
697;6067;HIGUERA LA REAL;88;6
698;6068;HINOJOSA DEL VALLE;28;6
699;6069;HORNACHOS;126;6
700;6070;JEREZ DE LOS CABALLEROS;231;6
701;6071;LAPA (LA);7;6
702;6073;LLERA;28;6
