;Comunidad Autónoma;Provincia;Municipio;Código;CodProv;Codigo_Mapa
360;Andalucía;ALMERIA;LUCAINENA DE LAS TORRES;04060;04;04060
361;Andalucía;ALMERIA;LUCAR;04061;04;04061
362;Andalucía;ALMERIA;MACAEL;04062;04;04062
363;Andalucía;ALMERIA;MARIA;04063;04;04063
364;Andalucía;ALMERIA;MOJACAR;04064;04;04064
365;Andalucía;ALMERIA;NACIMIENTO;04065;04;04065
366;Andalucía;ALMERIA;NIJAR;04066;04;04066
367;Andalucía;ALMERIA;OHANES;04067;04;04067
368;Andalucía;ALMERIA;OLULA DE CASTRO;04068;04;04068
369;Andalucía;ALMERIA;OLULA DEL RIO;04069;04;04069
370;Andalucía;ALMERIA;ORIA;04070;04;04070
371;Andalucía;ALMERIA;PADULES;04071;04;04071
372;Andalucía;ALMERIA;PARTALOA;04072;04;04072
373;Andalucía;ALMERIA;PATERNA DEL RIO;04073;04;04073
374;Andalucía;ALMERIA;PECHINA;04074;04;04074
375;Andalucía;ALMERIA;PULPI;04075;04;04075
376;Andalucía;ALMERIA;PURCHENA;04076;04;04076
377;Andalucía;ALMERIA;RAGOL;04077;04;04077
378;Andalucía;ALMERIA;RIOJA;04078;04;04078
379;Andalucía;ALMERIA;ROQUETAS DE MAR;04079;04;04079
380;Andalucía;ALMERIA;SANTA CRUZ DE MARCHENA;04080;04;04080
381;Andalucía;ALMERIA;SANTA FE DE MONDUJAR;04081;04;04081
382;Andalucía;ALMERIA;SENES;04082;04;04082
383;Andalucía;ALMERIA;SERON;04083;04;04083
384;Andalucía;ALMERIA;SIERRO;04084;04;04084
385;Andalucía;ALMERIA;SOMONTIN;04085;04;04085
386;Andalucía;ALMERIA;SORBAS;04086;04;04086
387;Andalucía;ALMERIA;SUFLI;04087;04;04087
388;Andalucía;ALMERIA;TABERNAS;04088;04;04088
389;Andalucía;ALMERIA;TABERNO;04089;04;04089
390;Andalucía;ALMERIA;TAHAL;04090;04;04090
391;Andalucía;ALMERIA;TERQUE;04091;04;04091
392;Andalucía;ALMERIA;TIJOLA;04092;04;04092
393;Andalucía;ALMERIA;TURRE;04093;04;04093
394;Andalucía;ALMERIA;TURRILLAS;04094;04;04094
395;Andalucía;ALMERIA;ULEILA DEL CAMPO;04095;04;04095
396;Andalucía;ALMERIA;URRACAL;04096;04;04096
397;Andalucía;ALMERIA;VELEFIQUE;04097;04;04097
398;Andalucía;ALMERIA;VELEZ-BLANCO;04098;04;04098
399;Andalucía;ALMERIA;VELEZ-RUBIO;04099;04;04099
400;Andalucía;ALMERIA;VERA;04100;04;04100
401;Andalucía;ALMERIA;VIATOR;04101;04;04101
402;Andalucía;ALMERIA;VICAR;04102;04;04102
