;CodProv;Codigo Provincia;Codigo_Mapa;Comunidad Autónoma;Código;Municipio;Nº alojamientos;Provincia
290;3;3;3134;Comunidad Valenciana;3134;VALL D'ALCALA (LA);0;ALICANTE
291;3;3;3135;Comunidad Valenciana;3135;VALL DE EBO;0;ALICANTE
292;3;3;3136;Comunidad Valenciana;3136;VALL DE GALLINERA;0;ALICANTE
293;3;3;3137;Comunidad Valenciana;3137;VALL DE LAGUART;0;ALICANTE
294;3;3;3138;Comunidad Valenciana;3138;VERGER (EL);0;ALICANTE
295;3;3;3139;Comunidad Valenciana;3139;VILLAJOYOSA;208;ALICANTE
296;3;3;3140;Comunidad Valenciana;3140;VILLENA;9;ALICANTE
297;3;3;3903;Comunidad Valenciana;3141;MONTESINOS (LOS);0;ALICANTE
298;3;3;3902;Comunidad Valenciana;3142;PILAR DE LA HORADADA;77;ALICANTE
299;3;3;3904;Comunidad Valenciana;3143;SAN ISIDRO;25;ALICANTE
300;3;3;3904;Comunidad Valenciana;3349;SAN ISIDRO;25;ALICANTE
301;3;3;3014;Comunidad Valenciana;3900;ALACANT-ALICANTE;1352;ALICANTE
302;4;4;4001;Andalucía;4001;ABLA;0;ALMERIA
303;4;4;4002;Andalucía;4002;ABRUCENA;2;ALMERIA
304;4;4;4003;Andalucía;4003;ADRA;7;ALMERIA
305;4;4;4004;Andalucía;4004;ALBANCHEZ;1;ALMERIA
306;4;4;4005;Andalucía;4005;ALBOLODUY;0;ALMERIA
307;4;4;4006;Andalucía;4006;ALBOX;4;ALMERIA
308;4;4;4007;Andalucía;4007;ALCOLEA;0;ALMERIA
309;4;4;4008;Andalucía;4008;ALCONTAR;0;ALMERIA
310;4;4;4009;Andalucía;4009;ALCUDIA DE MONTEAGUD;1;ALMERIA
311;4;4;4010;Andalucía;4010;ALHABIA;0;ALMERIA
312;4;4;4011;Andalucía;4011;ALHAMA DE ALMERIA;4;ALMERIA
313;4;4;4012;Andalucía;4012;ALICUN;0;ALMERIA
314;4;4;4014;Andalucía;4014;ALMOCITA;1;ALMERIA
